month,ITC_Return,NIFTY_Return,Repo_Rate,Repo_Change
2021-05,0.06914344685242524,0.065,4.0,0.0
2021-06,-0.03716216216216217,0.009000000000000001,4.0,0.0
2021-07,0.011152882205513803,0.003,4.0,0.0
2021-08,0.030920808030735047,0.087,4.0,0.0
2021-09,0.1176293802969286,0.027999999999999997,4.0,0.0
2021-10,-0.05485640529202962,0.003,4.0,0.0
2021-11,-0.009161260953681638,-0.039,4.0,0.0
2021-12,-0.01401251938207082,0.022000000000000002,4.0,0.0
2022-01,0.009843322266876342,-0.001,4.0,0.0
2022-02,0.0038066674356904695,-0.031,4.0,0.0
2022-03,0.16122730406803032,0.04,4.0,0.0
2022-04,0.035477486392874846,-0.021,4.0,0.0
2022-05,0.06818942036603426,-0.03,4.4,0.40000000000000036
2022-06,0.01055739464972727,-0.048,4.9,0.5
2022-07,0.10805666223992905,0.087,4.9,0.0
2022-08,0.057568614917502314,0.035,5.4,0.5
2022-09,0.036491387126019736,-0.037000000000000005,5.9,0.5
2022-10,0.04967563233471828,0.054000000000000006,5.9,0.0
2022-11,-0.024929689941321498,0.040999999999999995,5.9,0.0
2022-12,-0.024890503151372756,-0.035,6.25,0.34999999999999964
2023-01,0.06273736488460413,-0.025,6.5,0.25
2023-02,0.0866607106040822,-0.02,6.5,0.0
2023-03,0.018055906906147223,0.003,6.5,0.0
2023-04,0.1096443547134649,0.040999999999999995,6.5,0.0
2023-05,0.07039888033589925,0.026000000000000002,6.5,0.0
2023-06,0.013676778242677878,0.035,6.5,0.0
2023-07,0.0312411320073267,0.028999999999999998,6.5,0.0
2023-08,-0.055836293590833974,-0.025,6.5,0.0
2023-09,0.010677759525197228,0.02,6.5,0.0
2023-10,-0.03599423253375267,-0.027999999999999997,6.5,0.0
2023-11,0.017268573914935192,0.055,6.5,0.0
2023-12,0.060336300692383826,0.079,6.5,0.0
2024-01,-0.04444836627672444,-0.0,6.5,0.0
2024-02,-0.06580301311311043,0.012,6.5,0.0
2024-03,0.05425480837122598,0.016,6.5,0.0
2024-04,0.01703814830690109,0.012,6.5,0.0
2024-05,-0.0210725950900853,-0.003,6.5,0.0
2024-06,0.014691637068130481,0.066,6.5,0.0
2024-07,0.16581808538849097,0.039,6.5,0.0
2024-08,0.013238405022405253,0.011000000000000001,6.5,0.0
2024-09,0.032349309686833694,0.023,6.5,0.0
2024-10,-0.05662592963075719,-0.062,6.5,0.0
2024-11,-0.024664607440874065,-0.003,6.5,0.0
2024-12,0.014463981849120788,-0.02,6.5,0.0
2025-01,-0.0390923492684746,-0.006,6.5,0.0
2025-02,-0.1033797216699801,-0.059000000000000004,6.25,-0.25
2025-03,0.037342490941539186,0.063,6.0,-0.25
2025-04,0.03915230821364335,0.035,6.0,0.0
2025-05,-0.0001003386429198061,0.017,5.5,-0.5
2025-06,-0.0038383382253330822,0.031,5.5,0.0
2025-07,-0.010803868238138281,-0.028999999999999998,5.5,0.0
2025-08,-0.0053209093917870876,-0.013999999999999999,5.5,0.0
2025-09,-0.02001535705144608,0.008,5.5,0.0
2025-10,0.046803175929795326,0.045,5.5,0.0
2025-11,-0.038298403193612884,0.019,5.5,0.0
2025-12,-0.0030873005577896073,-0.003,5.25,-0.25
2026-01,-0.20061937230000515,-0.031,5.25,0.0
2026-02,-0.00615294462349858,-0.006,5.25,0.0
2026-03,-0.0825799266247379,-0.113,5.25,0.0
2026-04,0.09454779162352267,0.075,5.25,0.0
2026-05,-0.06410047300603505,-0.019,5.25,0.0
2026-06,0.00017427675148140587,0.013999999999999999,5.25,0.0
2026-07,-0.020735319742115288,0.022000000000000002,5.25,0.0
2026-08,-0.09074733096085408,-0.012,5.25,0.0
2026-09,0.028571428571428692,-0.013000000000000001,5.25,0.0
